id;fees_id;subproduct_id;document_id;name;amount;category;tax_type;tax;tax_amount;status
;;Crédito Multiopções;;Comissão de reembolso antecipado total 9.1 Taxa fixa ;0;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de reembolso antecipado total 9.2 Taxa variável ;0;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Emissão de extratos de conta de empréstimos liquidados ;100,00 ;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Comissões associadas a atos administrativos 11.1 Declarações de dívida ;50,00 ;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de deslocação 12.1 Até 100 Kms ;175,00 ;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de deslocação 12.2 101 a 250 Kms ;350,00 ;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de deslocação 12.3 > 250 Kms ;500,00 ;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Imposto do Selo sobre concessão de crédito (verba 17.1 da TGIS) ;0;Outras despesas associadas ;;;;Active
;;Crédito Multiopções;;Emolumentos do registo predial ;0;Outras despesas associadas ;;;;Active
;;Crédito Multiopções;;Emolumentos notariais ;0;Outras despesas associadas ;;;;Active
;;Crédito Multiopções;;Emolumentos “Casa Pronta” (vide Nota 9)  - Formalização (vide Nota 8) ;700,00 ;Outras despesas associadas ;;;;Active
;;Crédito Multiopções;;Emolumentos “Casa Pronta” (vide Nota 9)  - Certidão permanente on-line ;20,00 ;Outras despesas associadas ;;;;Active
;;Crédito Multiopções;;Emolumentos “Casa Pronta” (vide Nota 9)  - Desistência ou não conclusão do processo por motivos imputáveis ao cliente ;0;Outras despesas associadas ;;;;Active
;;Leasing Habitação;;Comissão de antecipação (pré.aviso 7 dias)  Taxa Fixa ;0;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissão de antecipação (pré.aviso 7 dias)  Taxa Variável ;0;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissão de recuperação de valores em dívida ;81;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissões associadas a atos administrativos  - Pedido de 2ª via de Caderneta Predial ;25;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissões associadas a atos administrativos  - Emissão de declarações não obrigatórias por lei ;50;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissões associadas a atos administrativos  - Emissão de 2ª vias de Declaração para efeitos de IRS – Urgente ;40;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissões associadas a atos administrativos  - Emissão de 2º vias de Declaração para efeitos de IRS ;25;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissões associadas a atos administrativos  - Emissão de 2ª vias de faturas ;15;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Cessação da posição contratual ;150;Comissões durante a vigência do contrato ;;;;Out of market
;;Leasing Habitação;;Comissão de compra antecipada (pré-aviso 10 dias)  Taxa Fixa ;0;Comissões no termo do contrato ;;;;Out of market
;;Leasing Habitação;;Comissão de compra antecipada (pré-aviso 10 dias)  Taxa Variável ;0;Comissões no termo do contrato ;;;;Out of market
